event_id,event_date,activity_type,event_start_time,event_end_time,capacity,estimated_cost,partner_flag,event_theme
E0044,2025-12-26,Owner Salon,19:00,21:00,115,14600,1,Community
E0045,2025-12-28,Owner Salon,15:00,16:59,120,26400,0,Community
E0046,2025-12-30,Family Workshop,16:45,17:58,65,14100,0,Family
E0047,2026-01-01,Movie Night,18:15,19:35,90,15600,0,Lifestyle
E0048,2026-01-03,Tech Talk,18:15,19:38,66,8600,0,Product
E0049,2026-01-05,Family Workshop,10:00,11:04,62,8800,1,Family
E0050,2026-01-07,Movie Night,18:30,20:13,109,12200,1,Lifestyle
E0051,2026-01-09,Tech Talk,19:15,20:34,138,17300,0,Product
E0052,2026-01-11,Tech Talk,19:00,20:10,63,19900,1,Product
E0053,2026-01-13,Movie Night,19:00,20:18,76,8200,0,Lifestyle
E0054,2026-01-15,Tech Talk,18:00,19:52,121,10800,0,Product
E0055,2026-01-17,Art Exhibition,16:00,18:52,97,15000,0,Lifestyle
E0056,2026-01-19,Tech Talk,19:00,20:08,89,24500,0,Product
E0057,2026-01-21,Owner Salon,19:00,20:58,114,18600,1,Community
E0058,2026-01-23,Movie Night,18:30,20:21,39,12900,1,Lifestyle
E0059,2026-01-25,Tech Talk,14:45,15:55,100,14500,0,Product
E0060,2026-01-27,Tech Talk,18:00,19:38,119,30100,1,Product
E0061,2026-01-29,Coffee Tasting,11:15,12:11,43,6100,1,Lifestyle
E0062,2026-01-31,Art Exhibition,16:30,20:22,202,20000,0,Lifestyle
E0063,2026-02-02,Owner Salon,18:00,19:56,68,6500,0,Community
E0064,2026-02-04,Family Workshop,11:00,12:32,32,5400,1,Family
E0065,2026-02-06,Owner Salon,19:15,21:13,39,10500,1,Community
E0066,2026-02-08,Owner Salon,16:00,17:11,105,13100,0,Community
E0067,2026-02-10,Owner Salon,19:45,21:21,45,10200,0,Community
E0068,2026-02-12,Coffee Tasting,14:00,15:09,15,4900,1,Lifestyle
E0069,2026-02-14,Art Exhibition,16:00,18:51,163,23000,0,Lifestyle
E0070,2026-02-16,Family Workshop,16:00,18:00,45,6000,0,Family
E0071,2026-02-18,Art Exhibition,14:00,16:59,105,43800,1,Lifestyle
E0072,2026-02-20,Owner Salon,19:30,21:27,67,9400,1,Community
E0073,2026-02-22,Owner Salon,14:45,15:51,34,5500,0,Community
E0074,2026-02-24,New Model Launch,19:45,22:00,421,46900,0,Product
E0075,2026-02-26,Art Exhibition,15:15,18:30,170,21400,0,Lifestyle
E0076,2026-02-28,Coffee Tasting,16:30,17:29,33,2000,0,Lifestyle
